player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Jordan Walsh,BOS,21,52,7.8,1.6,1.3,0.4,0.2,0.2,0.3,0.361,0.273,0.583,0.5,4.26,1891857,FALSE,1.891857,2.25
Malaki Branham,SAS,22,47,9.1,5,1.1,0.8,0.2,0,0.7,0.458,0.405,0.818,-0.7,7.22,3217920,FALSE,3.21792,2.24
Reggie Jackson,PHI,35,31,12.4,4.4,1.4,1.5,0.5,0.1,0.5,0.391,0.338,0.778,-0.6,9.03,4033748,FALSE,4.033748,2.24
Alex Len,LAL,32,46,8.3,1.6,2.1,0.8,0.2,0.5,0.4,0.508,0.222,0.471,-3.3,6.32,2831348,FALSE,2.831348,2.23
Doug McDermott,SAC,33,42,8.1,3.5,0.5,0.2,0.1,0,0.1,0.427,0.436,0.6,0.6,4.5,2087519,FALSE,2.087519,2.16
T.J. McConnell,IND,33,79,17.9,9.1,2.4,4.4,1.1,0.3,1.4,0.519,0.306,0.74,-0.7,19.98,9300000,TRUE,9.3,2.15
Onyeka Okongwu,ATL,24,74,27.9,13.4,8.9,2.3,0.9,0.9,1.2,0.567,0.324,0.759,0.5,29.93,14000000,TRUE,14,2.14
Cody Martin,PHX,29,53,22.1,6.8,4.2,2,1.1,0.6,1,0.418,0.285,0.705,-2,17.24,8120000,TRUE,8.12,2.12
Royce O'Neale,PHX,32,75,24.5,9.1,4.7,2.2,0.9,0.4,0.9,0.423,0.406,0.731,-2.1,19.74,9375000,TRUE,9.375,2.11
Anthony Gill,WAS,32,51,7.8,2.5,1.3,0.3,0.2,0,0.2,0.489,0.323,0.66,-1.4,4.71,2237691,FALSE,2.237691,2.1
Buddy Hield,GSW,32,82,22.7,11.1,3.2,1.6,0.8,0.3,1.1,0.417,0.37,0.828,1.7,18.44,8780488,TRUE,8.780488,2.1
Jalen Smith,CHI,25,64,15,8.2,5.6,1,0.3,0.7,0.6,0.466,0.324,0.809,-0.6,17.82,8571429,TRUE,8.571429,2.08
Jarace Walker,IND,21,75,15.8,6.1,3.1,1.5,0.7,0.3,1,0.472,0.405,0.667,-1.9,13.07,6362520,TRUE,6.36252,2.05
Deni Avdija,POR,24,72,30,16.9,7.3,3.9,1,0.5,2.7,0.476,0.365,0.78,-1.1,31.81,15625000,TRUE,15.625,2.04
Chris Livingston,MIL,21,21,5,1.4,1.7,0.2,0.2,0,0.3,0.333,0,0.75,-1.4,3.84,1891857,FALSE,1.891857,2.03
Aaron Holiday,HOU,28,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,1.4,9.41,4668000,FALSE,4.668,2.02
Kenrich Williams,OKC,30,69,16.4,6.3,3.5,1.4,0.6,0.1,0.6,0.483,0.386,0.718,4.8,13.4,6669000,TRUE,6.669,2.01
Donte DiVincenzo,MIN,28,62,25.9,11.7,3.7,3.6,1.2,0.3,1.6,0.422,0.397,0.778,2.8,22.94,11445000,TRUE,11.445,2
Kevon Looney,GSW,29,76,15,4.5,6.1,1.6,0.6,0.5,0.5,0.514,0.4,0.566,1.5,15.92,8000000,TRUE,8,1.99
Kobe Brown,LAC,25,40,6.8,1.9,1.6,0.6,0.2,0.1,0.3,0.458,0.231,0.714,-1.3,5.02,2533920,FALSE,2.53392,1.98
Josh Hart,NYK,30,77,37.6,13.6,9.6,5.9,1.5,0.4,2.1,0.525,0.333,0.776,2.6,35.67,18144000,TRUE,18.144,1.97
Moritz Wagner,ORL,28,30,18.8,12.9,4.9,1.4,0.8,0.4,1.6,0.562,0.36,0.718,-0.6,21.68,11000000,FALSE,11,1.97
Mike Conley,MIN,37,71,24.7,8.2,2.6,4.5,1.1,0.2,1.1,0.4,0.41,0.9,3.7,19.57,9975962,TRUE,9.975962,1.96
Aaron Wiggins,OKC,26,76,22.9,12,3.9,1.8,0.8,0.2,0.9,0.488,0.383,0.831,6.8,20.48,10514017,TRUE,10.514017,1.95
Tre Jones,CHI,25,46,19.7,7.2,2.5,4.2,0.8,0.2,0.8,0.538,0.396,0.821,-0.7,17.7,9104167,TRUE,9.104167,1.94
Luke Kennard,MEM,29,65,22.6,8.9,2.8,3.3,0.8,0.1,1.1,0.478,0.433,0.895,1.9,17.91,9250000,TRUE,9.25,1.94
Daniel Gafford,DAL,26,57,21.5,12.3,6.8,1.4,0.4,1.8,1.2,0.702,0,0.689,0.6,25.76,13394160,TRUE,13.39416,1.92
P.J. Washington,DAL,26,57,32.2,14.7,7.8,2.3,1.1,1.1,2.1,0.453,0.381,0.722,0.9,29.81,15500000,TRUE,15.5,1.92
Georges Niang,ATL,32,79,21.5,9.9,3.4,1.4,0.4,0.2,1,0.461,0.406,0.793,2.5,16.28,8500000,TRUE,8.5,1.92
Naz Reid,MIN,25,80,27.5,14.2,6,2.3,0.7,0.9,1.4,0.462,0.379,0.776,4.3,26.65,13986432,TRUE,13.986432,1.91
Caleb Martin,DAL,29,45,27.1,7.9,3.9,2.1,1,0.5,1.2,0.424,0.359,0.622,-3.4,17.53,9186594,TRUE,9.186594,1.91
Devin Carter,SAC,23,36,11,3.8,2.1,1.1,0.6,0.1,0.5,0.37,0.295,0.591,1.2,8.87,4689000,FALSE,4.689,1.89
Wendell Carter Jr.,ORL,26,68,25.9,9.1,7.2,2,0.8,0.6,1.1,0.46,0.234,0.737,-0.2,22.44,11950000,TRUE,11.95,1.88
Trey Lyles,SAC,29,69,19.6,6.5,4.6,1.2,0.6,0.3,0.6,0.42,0.34,0.7,-1,15.02,8000000,TRUE,8,1.88
Aaron Nesmith,IND,25,45,24.9,12,4,1.2,0.8,0.4,0.8,0.507,0.431,0.913,4.4,20.2,11000000,TRUE,11,1.84
Sidy Cissoko,POR,21,22,5.2,1.5,1,0.7,0.1,0,0.5,0.433,0.231,0.333,0.4,3.45,1891857,FALSE,1.891857,1.82
